product_name,rating,review_text,sentiment
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Wonderful. The tv is nice and all. The problem tho is that it does not have bluetooth connectivity. I mean waht could have been so difficult in adding bt capability. Also the speaker are a bit low in volume. Everything else is superb,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Excellent. This is latest 2025 model superb video quality you can buy it no doubts it's value for money,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Excellent. It's better than OnePlus and Xiaomi Android TV its
Picture quality is so good 
 Volume is also so good",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Simply awesome. good,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Delightful. Go for the 2025 version, remote has been improved and there is improvement of tyzen os and overall everything is good and can go for in this price segment",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Simply awesome. Bazel less slim ,samsung is master of good disply  picture quality is really excellent, connectivity is also good .Really satisfied with the purchase also quick delivery by flipkart delivery partner",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Wonderful. Best of luck,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Terrific purchase. Nice picture quality also great sound by samsung brand,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Must buy!. Good purchase,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Highly recommended. At that particular price rate this is the best television 📺 ...........anyway this is branded company television......👍👍👍,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Good quality product. Very nice product 😊👍
Fastest delivery 🚚
Installation and demo done by very next day 👍👍",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Value-for-money. The processor or OS tizen is too much slow
While doing TV on, it takes time to show the screen
Overall it is fine and resolution is also good but according to price it is okay otherwise you have to go for better option",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Perfect product!. I am writing the review after 12 days of installation. TV is very good. The picture quality is good and sound is also good. It has Samsung TV plus which gives 47 channels online to watch. It is a smart TV where  OTT can be watched,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Great product. I bought the 2025 edition model and it's really good as per it's price. But it only works with the HD set top box with HDMI cable, normal one is not compatible with this model",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,3,"Fair. TV is ok. But, I don't feel good about the different modes of picture. Movie mode is better. But dynamic, standard and eco modes are not good. Picture is not looking natural. Even when we alter the brightness, contrast, sharpness and colour etc., it is not up to the mark. Perhaps, I may not tune it properly. Yet, Samsung may provide the different modes with clear vision as customer expects.

Anyway Samsung is good in brand. I went for it.

I hope that the brand will not make me unhappy with regards to the build quality",neutral
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Excellent. Value for money samsung is king picture quality super❤️,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Wonderful. Best picture quality and sound,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Simply awesome. Giving review after using the tv for 1 year, so for no problem at all and it's working fine. Picture quality, delivery and installation all are great. Thanks Flipkart 👍🏻",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Just wow!. Good quality pic.  Nice product,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Value-for-money. Good product at this price. Installation is free from Samsung, but the technician would try to get some money for the installation, no need to pay for either wall mount or stand",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Perfect product!. Vibrant HD visuals with PurColor, HDR 10+. Immersive sound via OTS Lite, Q-Symphony. Tizen OS, voice control, Samsung Knox security. Great value, reliable performance",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Highly recommended. Good 👍,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Great product. Very Good HD quality I'm Happy,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Excellent. Nice and awesome thank Flipkart for such a great deal thank u Samsung,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Delightful. I bought it on 18th August 2024, and it was installed on 22th August 2024 awesome picture quality, excellent sound,tizen works perfect ,value for money I recommend to all must buy",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,Very Good. Ok,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,Wonderful. Led Was Good one Thing Missing Bluetooth . Over all Good Sound was good ... Price was Good,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,Pretty good. Good quality  best product,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"Value-for-money. Great product , worth the money, delivery was Swift by flipkart. Call samsung support. Directly they will give you stand or wall mount for free. Flipkart gives installation to Jeeves they charge money . They don't have tv stand. Always go for brand installation",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Wonderful. Very good  product,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Simply awesome. Nice experience....value for money!!,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Terrific purchase. Best quality for this price... you definitely buy under 14k-15 budget,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Fabulous!. Picture quality is amazing and sound is descent. Amazing in this price,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Excellent. ⭐️⭐️⭐️⭐️⭐️
Excellent TV for Daily Use!
Picture quality is ok , sound is clear, and smart features work smoothly. Perfect size for bedrooms. Great value at this price. Go for it!",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Brilliant. No doubt go for it although I used only 2 day as on 26/05/25,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,3,Does the job. Display clarity is not good,neutral
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,Excellent. Very Nice item..for DD Free Dish use Auto Tune no need for using free dish set top box,positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,4,"BEST TV IN THIS RANGE. I don't have any pics right now, but believe me its far better than any android tv.it has very good sound quality comparatively.go for samsung dont buy any local brand so called android tvs.

I have separately purchased android box,as i was aware of this tv is running on Tizen os,but believe me almost never used that android box ,because it has almost all apps with full updates and support.


One most valuable feature I have found in this tv is it has pre installed SAMSUNG IP TV which has almost all the good channels like news and discovery networks etc.so if you have any fiber connection then you will have not spend extra cost for cable tv.
I don't know why this feature is not boasted by samsung as this only available in this Tv",positive
Samsung 80 cm (32 inch) HD Ready LED Smart Tizen TV with Voice Assistance Remote Control | 100+ Free Channels | HDR 10+ Support | PurColor | Samsung Knox Security | Digital Tuner | Object Tracking Sound Lite | Adaptive Sound | Q-Symphony,5,"Mind-blowing purchase. All is best build quality and performance are great sound is very nice picture quality awesome in this price range ...no any doubt please go and buying this product thank samsung brand and also Flipkart and thanks to flipkart technician 
Buy 18 aug.2025 and share my experience 13 sept.2025 

All features is available... thank you",positive
